Time,asks,bids,price
2019-05-28 18:00:00 UTC,17309244.81,16374520.19,8739.784118
2019-05-28 19:00:00 UTC,17495258.26,16427585.89,8710.396944
2019-05-28 20:00:00 UTC,17556986.84,16254490.83,8696.864167
2019-05-28 21:00:00 UTC,16686756.65,16848112.27,8688.705
2019-05-28 22:00:00 UTC,17459474.05,16983295.31,8708.395278
2019-05-28 23:00:00 UTC,17971523.45,17222344.43,8709.876667
2019-05-29 00:00:00 UTC,18967204.88,17463816.71,8690.774118
2019-05-29 01:00:00 UTC,19793792.56,17497894.85,8690.738056
2019-05-29 02:00:00 UTC,18649787.37,18561726.72,8652.43
2019-05-29 03:00:00 UTC,18653828.1,18247536.12,8648.123333
2019-05-29 04:00:00 UTC,17536460.48,17530408.44,8599.588611
2019-05-29 05:00:00 UTC,16384155.5,16745989.28,8526.614722
2019-05-29 06:00:00 UTC,15716068.3,16202700.97,8506.033611
2019-05-29 07:00:00 UTC,16172741.72,16606433.35,8531.843333
2019-05-29 08:00:00 UTC,16858493.54,16681845.49,8555.601944
2019-05-29 09:00:00 UTC,17695329.19,16790605.8,8585.416667
2019-05-29 10:00:00 UTC,18752855.8,16019778.66,8651.541389
2019-05-29 11:00:00 UTC,18210995.97,16845308.8,8640.394412
2019-05-29 12:00:00 UTC,17555436.86,17328450.12,8634.263611
2019-05-29 13:00:00 UTC,18573859.95,16534846.41,8696.327222
2019-05-29 14:00:00 UTC,18934656.78,15918630.02,8717.727778
2019-05-29 15:00:00 UTC,19304897.73,15746450.98,8708.858611
2019-05-29 16:00:00 UTC,19218591.96,16603997.88,8701.301944
2019-05-29 17:00:00 UTC,19440207.3,16625457.85,8711.573889
2019-05-29 18:00:00 UTC,19208082.84,16665545.4,8684.315278
2019-05-29 19:00:00 UTC,19298621.83,16896160.92,8692.621667
2019-05-29 20:00:00 UTC,18583217.49,16937618.97,8673.165278
2019-05-29 21:00:00 UTC,17920089.25,16663751.29,8659.897353
2019-05-29 22:00:00 UTC,18532744.06,16129714.32,8685.40175
2019-05-29 23:00:00 UTC,18030899,16494985.74,8664.229545
2019-05-30 00:00:00 UTC,17926160.23,17315550.05,8657.598056
2019-05-30 01:00:00 UTC,18559939.89,16607663.22,8676.898824
2019-05-30 02:00:00 UTC,20854879.21,16778440.16,8602.190556
2019-05-30 03:00:00 UTC,20782413.56,16663262.94,8647.624167
2019-05-30 04:00:00 UTC,20701560.9,16094043.82,8682.665278
2019-05-30 05:00:00 UTC,18759792.55,15948276.64,8728.519722
2019-05-30 06:00:00 UTC,18789440.71,16772850.1,8721.129167
2019-05-30 07:00:00 UTC,18597729.96,16473673.37,8705.578889
2019-05-30 08:00:00 UTC,18539794.51,16315050.06,8694.519167
2019-05-30 09:00:00 UTC,18303979.9,16371496.13,8701.100556
2019-05-30 10:00:00 UTC,18545667.3,15832405.47,8730.000556
2019-05-30 11:00:00 UTC,18633816.26,15762452.67,8731.005
2019-05-30 12:00:00 UTC,18569777.93,16519138.5,8718.42
2019-05-30 13:00:00 UTC,18692243.67,16604394.93,8722.124167
2019-05-30 14:00:00 UTC,18748510.17,17000549.44,8722.184074
2019-05-30 15:00:00 UTC,18231128.56,15978348.68,8785.292031
2019-05-30 16:00:00 UTC,13081771.42,14768397.28,8777.392857
2019-05-30 17:00:00 UTC,12606372.84,15346119.25,8620.4275
2019-05-30 18:00:00 UTC,13154207.68,16047249.03,8629.71881
2019-05-30 19:00:00 UTC,13878083.38,17034947.07,8633.285714
2019-05-30 20:00:00 UTC,11700183.65,16068332.67,8512.66369
2019-05-30 21:00:00 UTC,7608806.122,12084742.81,8272.336585
2019-05-30 22:00:00 UTC,8442234.863,10223077.8,8263.145952
2019-05-30 23:00:00 UTC,8727515.401,10503326.24,8265.441071
2019-05-31 00:00:00 UTC,9244521.788,10660305.06,8309.467024
2019-05-31 01:00:00 UTC,10238155.57,10205213.54,8336.890357
2019-05-31 02:00:00 UTC,10916147.99,10495247.36,8316.575147
2019-05-31 03:00:00 UTC,9364752.889,10788496.52,8261.6805
2019-05-31 04:00:00 UTC,8455847.617,11507082.48,8219.649167
2019-05-31 05:00:00 UTC,7712117.457,11885793.6,8190.678167
2019-05-31 06:00:00 UTC,9530374.995,11441650.64,8263.330833
2019-05-31 07:00:00 UTC,10331506.13,12368191.76,8263.267333
2019-05-31 08:00:00 UTC,10796449.69,17105415.5,8289.064667
2019-05-31 09:00:00 UTC,11082985.65,12046472.28,8301.874167
2019-05-31 10:00:00 UTC,10956206.72,11753770.07,8309.643833
2019-05-31 11:00:00 UTC,9652075.594,11024983.45,8242.627
2019-05-31 12:00:00 UTC,11022730.49,10286097.03,8272.298333
2019-05-31 13:00:00 UTC,12978737.8,9395224.664,8393.594833
2019-05-31 14:00:00 UTC,13712022.32,9785161.127,8416.7085
2019-05-31 15:00:00 UTC,13499375.12,9995390.241,8390.532833
2019-05-31 16:00:00 UTC,13438764.69,10273774.86,8390.728667
2019-05-31 17:00:00 UTC,14606586.11,10393379.95,8417.076667
2019-05-31 18:00:00 UTC,14316160.67,10569656.45,8423.384333
2019-05-31 19:00:00 UTC,14707468.63,11012174.08,8416.622885
2019-05-31 20:00:00 UTC,17206150.63,11043543.3,8460.992222
2019-05-31 21:00:00 UTC,17557437.69,10712164.63,8526.148611
2019-05-31 22:00:00 UTC,17588561.37,11705022.31,8510.298611
2019-05-31 23:00:00 UTC,17089689.28,11974763.04,8550.817222
2019-06-01 00:00:00 UTC,16973726.54,12036649.26,8534.58
2019-06-01 01:00:00 UTC,17247828.66,11461768.42,8552.862778
2019-06-01 02:00:00 UTC,16856119.2,11781185.07,8528.062353
2019-06-01 03:00:00 UTC,18223377.75,11869229.99,8543.814722
2019-06-01 04:00:00 UTC,19773092.11,12030324.22,8535.223056
2019-06-01 05:00:00 UTC,19771794.86,11696782.14,8515.275833
2019-06-01 06:00:00 UTC,19761471.32,11460674.93,8503.748611
2019-06-01 07:00:00 UTC,20270792.77,11598622.54,8527.324167
2019-06-01 08:00:00 UTC,20213431.48,11772853.79,8532.658333
2019-06-01 09:00:00 UTC,19259531,10781194.1,8576.806944
2019-06-01 10:00:00 UTC,18803310.57,11583564.6,8576.766389
2019-06-01 11:00:00 UTC,19109219.37,11499885.07,8561.045278
2019-06-01 12:00:00 UTC,19240417.38,11171873.98,8561.787941
2019-06-01 13:00:00 UTC,18243649.21,11227120.21,8538.143611
2019-06-01 14:00:00 UTC,18822871.48,11439324.56,8513.055556
2019-06-01 15:00:00 UTC,19169658.58,10982004.83,8515.8325
2019-06-01 16:00:00 UTC,20319889.4,10960198.49,8556.936944
2019-06-01 17:00:00 UTC,20077968.43,11523711.67,8537.697143
2019-06-01 18:00:00 UTC,19513115.09,11498268.63,8519.584583
2019-06-01 19:00:00 UTC,19485551.56,10973809.57,8526.138333
2019-06-01 20:00:00 UTC,19688748.42,11331578.82,8545.291042
2019-06-01 21:00:00 UTC,20171151.92,10954119.02,8579.119583
2019-06-01 22:00:00 UTC,19576789.39,10760907.1,8570.279167
2019-06-01 23:00:00 UTC,19670715.97,10567289.23,8562.719348
2019-06-02 00:00:00 UTC,20033112.04,10537089.49,8571.202292
2019-06-02 01:00:00 UTC,21468650.08,10710417.37,8578.037708
2019-06-02 02:00:00 UTC,21628784.18,10600404.68,8580.925208
2019-06-02 03:00:00 UTC,21549871.9,10960080.91,8570.045
2019-06-02 04:00:00 UTC,21876452.86,10856625.44,8571.624167
2019-06-02 05:00:00 UTC,22207113.33,10781176.65,8578.788125
2019-06-02 06:00:00 UTC,21822955.78,10831642.1,8582.847917
2019-06-02 07:00:00 UTC,22549226.82,10026730.1,8637.725208
2019-06-02 08:00:00 UTC,23326671.84,8914133.892,8718.615625
2019-06-02 09:00:00 UTC,20634554.78,9406431.143,8728.091875
2019-06-02 10:00:00 UTC,20298495.84,9141430.144,8713.003043
2019-06-02 11:00:00 UTC,20559823.35,9053645.872,8735.672083
2019-06-02 12:00:00 UTC,20509946.03,8382770.927,8799.628542
2019-06-02 13:00:00 UTC,19207872.54,8727886.054,8711.040833
2019-06-02 14:00:00 UTC,18858716.29,9026410.357,8703.657292
2019-06-02 15:00:00 UTC,18601732.01,9510196.481,8711.972917
2019-06-02 16:00:00 UTC,18853746.05,9851760.83,8709.957083
2019-06-02 17:00:00 UTC,18650869.34,9969405.911,8694.774167
2019-06-02 18:00:00 UTC,18477639.69,9609658.076,8675.279167
2019-06-02 19:00:00 UTC,18668814.3,9961278.87,8678.843125
2019-06-02 20:00:00 UTC,18621744.67,9735610.09,8692.199167
2019-06-02 21:00:00 UTC,18766452.81,9767481.017,8693.581957
