Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2019-05-25 11:00:00 UTC,2.224997631,1.174591277,0.003421762,0.078703567,0.084948193,0.008765437,0.155547492,0.051497004,0.032580161,0.024710303
2019-05-25 12:00:00 UTC,2.232653774,,0.004403673,0.065286799,0.054881034,0.008861969,0.14500243,0.093042666,0.044401821,0.033354834
2019-05-25 13:00:00 UTC,2.239436845,1.707866163,0.002450508,0.072318729,0.091404379,0.013650332,0.141201018,0.085692587,0.034078078,0.025612217
2019-05-25 14:00:00 UTC,2.220802381,,0.003726291,0.069133592,0.086014111,0.005977342,0.13830491,0.05730815,0.033875131,0.025026535
2019-05-25 15:00:00 UTC,2.246829396,1.812947765,0.005608792,0.083177843,0.042147229,0.005448857,0.136779579,0.065596393,0.031954503,0.007426722
2019-05-25 16:00:00 UTC,2.236906452,,0.003020708,0.070495549,0.066776969,0.007394251,0.185236062,0.044642652,0.036727509,0.017798164
2019-05-25 17:00:00 UTC,2.247304848,1.815996697,0.003079453,0.077633526,0.122146731,0.004927398,0.151094049,0.053520854,0.019411311,0.027125091
2019-05-25 18:00:00 UTC,2.247665722,,0.006078203,0.070181042,0.056852424,0.009255053,0.158568097,0.049585479,0.034549502,0.02607156
2019-05-25 19:00:00 UTC,2.198892352,1.336900048,0.005106674,0.05931301,0.051505566,0.00094799,0.193586899,0.083097328,0.032442273,0.031849167
2019-05-25 20:00:00 UTC,2.233277992,,0.004946836,0.075791208,0.070168114,0.007383193,0.136720623,0.085357926,0.038551381,0.020714621
2019-05-25 21:00:00 UTC,1.960393604,1.303938204,0.007248232,0.073004261,0.049855785,0.007712462,0.096663454,0.072645508,0.040028896,0.036254227
2019-05-25 22:00:00 UTC,1.882440514,,0.006336964,0.060578099,0.035774193,0.007122263,0.133591994,0.077093625,0.018847873,0.01662826
2019-05-25 23:00:00 UTC,1.924612546,1.356522722,0.002856049,0.0463796,0.099307959,0.002754801,0.21811325,0.074474747,0.024025102,0.021679174
2019-05-26 00:00:00 UTC,1.885666257,,0.001775033,0.071045577,0.055952769,0.005395665,0.262914696,0.056343184,0.025296898,0.020972495
2019-05-26 01:00:00 UTC,2.160099585,1.577777696,0.001515782,0.071890839,0.053147824,0.004214958,0.150747724,0.051391177,0.029766752,0.015950935
2019-05-26 02:00:00 UTC,2.084617887,,0.001245266,0.068761788,0.062756746,0.002775122,0.096181448,0.068339048,0.035820969,0.017806707
2019-05-26 03:00:00 UTC,2.194085731,1.910062514,0.002015412,0.054490586,0.050437814,0.002926354,0.173246999,0.068100838,0.038656151,0.01902732
2019-05-26 04:00:00 UTC,2.18404572,,0.001747035,0.066948198,0.100875055,0.001510786,0.188984138,0.084622446,0.03655399,0.01663064
